Name,Rating,Advantage,Disadvantage,Reviews,Salary,Interview,Jobs,Industry,Employees,Ownership,Age,Location,Work Place
TCS,3.8,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",77k,8.7L,8.1k,1.1k,IT Services & Consulting , 1 Lakh+ Employees , Public , 56 years old , Mumbai +348 more,
Accenture,4.0,"Company Culture, Skill Development / Learning, Job Security",Promotions / Appraisal,48.1k,5.9L,5.9k,34.6k,IT Services & Consulting , 1 Lakh+ Employees , Public , 35 years old , Dublin +180 more,
Cognizant,3.9,Skill Development / Learning,Promotions / Appraisal,43.4k,5.7L,4.6k,491,IT Services & Consulting , 1 Lakh+ Employees , Forbes Global 2000 , 30 years old , Teaneck. New Jersey. +175 more,
Wipro,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",41.3k,4.3L,4.5k,884,IT Services & Consulting , 1 Lakh+ Employees , Public , 79 years old , Bangalore/Bengaluru +278 more,
Capgemini,3.8,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",35.6k,4.3L,3.8k,--,IT Services & Consulting , 1 Lakh+ Employees , Public , 57 years old , Paris +145 more,
HDFC Bank,3.9,"Job Security, Skill Development / Learning",Promotions / Appraisal,34.6k,1.3L,1.8k,162,Banking , 1 Lakh+ Employees , Public , 30 years old , Mumbai +1562 more,
ICICI Bank,4.0,"Job Security, Skill Development / Learning, Company Culture",,34.2k,1.5L,2.1k,--,Banking , 1 Lakh+ Employees , Public , 30 years old , Mumbai +1304 more,
Infosys,3.8,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",33.4k,4.7L,6k,1.2k,IT Services & Consulting , 1 Lakh+ Employees , Public , 43 years old , Bengaluru/Bangalore +183 more,
HCLTech,3.6,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",30k,3.1L,3.1k,--,IT Services & Consulting , 1 Lakh+ Employees , Public , 33 years old , Noida +184 more,
Tech Mahindra,3.7,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,28.5k,2.6L,2.9k,503,IT Services & Consulting , 1 Lakh+ Employees , Public , 38 years old , Pune +271 more,
Genpact,3.9,"Job Security, Skill Development / Learning, Work Life Balance","Salary & Benefits, Promotions / Appraisal",27k,2L,2.5k,--,IT Services & Consulting , 1 Lakh+ Employees , Public , 27 years old , New York +118 more,
Axis Bank,3.9,Job Security,Promotions / Appraisal,22.5k,97.7k,1.3k,--,Banking , 50k-1 Lakh Employees , Public , 31 years old , Mumbai +1326 more,
Teleperformance,3.8,Promotions / Appraisal,,23.5k,86.4k,1.5k,270,BPO , 50k-1 Lakh Employees , Forbes Global 2000 , 46 years old , Paris +192 more,
Concentrix Corporation,3.9,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",21.9k,1.1L,1.3k,54,BPO , 50k-1 Lakh Employees , Public , 41 years old , Fremont +119 more,
Jio,4.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,20.4k,65.4k,1.4k,118,Telecom , 50k-1 Lakh Employees , Public , 6 years old , Navi Mumbai +1178 more,
Amazon,4.1,"Company Culture, Salary & Benefits, Work Life Balance",,21.6k,1.2L,4.1k,111,Internet , 1 Lakh+ Employees , Public , 30 years old , Seattle +456 more,
IBM,4.1,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal,19.9k,2.2L,1.9k,3.3k,IT Services & Consulting , 1 Lakh+ Employees , Public , 113 years old , Armonk +149 more,
Reliance Retail,4.0,"Skill Development / Learning, Job Security",Promotions / Appraisal,19.6k,62.5k,1.3k,174,Retail , 1 Lakh+ Employees , 18 years old , Navi Mumbai +1017 more,,
HDB Financial Services,4.0,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,18.2k,49.4k,684,130,NBFC , 1 Lakh+ Employees , 17 years old , Ahmedabad +963 more,,
Larsen & Toubro Limited,4.1,"Job Security, Skill Development / Learning",,16.4k,68.3k,1.2k,--,Engineering & Construction , 10k-50k Employees , Public , 86 years old , Mumbai +626 more,
Vodafone Idea,4.2,"Company Culture, Work Life Balance, Salary & Benefits",,14.2k,56.4k,487,25,Telecom , 5k-10k Employees , Public , 6 years old , Mumbai +641 more,
BYJU'S,3.1,"Job Security, Work Life Balance, Company Culture",,15.4k,60.5k,2k,--,EdTech , 10k-50k Employees , Indian Unicorn , 13 years old , Bangalore +308 more,
Kotak Mahindra Bank,3.8,Job Security,Promotions / Appraisal,14.3k,79.5k,876,--,Banking , 50k-1 Lakh Employees , Public , 21 years old , Mumbai +577 more,
Deloitte,3.9,"Job Security, Skill Development / Learning, Salary & Benefits",,14.7k,1.8L,2.1k,--,Management Consulting , 1 Lakh+ Employees , 179 years old , London +143 more,,
Reliance Industries,4.1,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,13.8k,65.7k,1.1k,--,Oil & Gas , 1 Lakh+ Employees , Public , 47 years old , Navi Mumbai +695 more,
iEnergizer,4.7,"Skill Development / Learning, Company Culture, Job Security",,16.3k,19.2k,383,56,BPO , 10k-50k Employees , 24 years old , Noida +31 more,,
Bharti Airtel,4.0,"Skill Development / Learning, Job Security, Salary & Benefits",Promotions / Appraisal,12.2k,44.2k,686,--,Telecom , 10k-50k Employees , Public , 29 years old , Gurgaon/Gurugram +667 more,
Tata Motors,4.2,"Job Security, Skill Development / Learning, Company Culture",,10.5k,40.1k,830,--,Automobile , 10k-50k Employees , Public , 79 years old , Pune +439 more,
WNS,3.5,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,9.8k,55.3k,848,--,BPO , 10k-50k Employees , 28 years old , Mumbai +40 more,,
Flipkart,4.0,"Skill Development / Learning, Company Culture, Job Security",,9.6k,46.8k,1.2k,242,Internet , 10k-50k Employees , Public , 17 years old , Bangalore +517 more,
IndusInd Bank,3.7,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,9.3k,46.4k,491,--,Banking , 10k-50k Employees , Public , 30 years old , Gurgaon/Gurugram +693 more,
Ernst & Young,3.6,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",8.9k,1.1L,915,197,Management Consulting , 50k-1 Lakh Employees , 22 years old , London +96 more,,
AU Small Finance Bank,4.4,"Skill Development / Learning, Job Security, Company Culture",,8.9k,19.2k,358,62,Banking , 10k-50k Employees , Fortune India 500 , 28 years old , Jaipur +412 more,
Mahindra & Mahindra,4.2,"Job Security, Skill Development / Learning, Company Culture",,8.7k,36.6k,566,--,Automobile , 1 Lakh+ Employees , Public , 79 years old , Mumbai +483 more,
Infosys BPM,3.8,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",8.4k,61k,807,138,BPO , 10k-50k Employees , 22 years old , Bangalore/Bengaluru +67 more,,
